college_name,city,district,state,country,college_type,ownership,established_year,official_website,official_admission_url,ug_fee_inr,pg_fee_inr,Rating,Academic,Faculty,Infrastructure,Accommodation,Placement,Social_Life,nirf_2025_rank,College_Name,State,UG_fee,PG_fee,nirf_2025_ss,nirf_2025_fsr,nirf_2025_fqe,nirf_2025_fru,nirf_2025_pu,nirf_2025_qp,nirf_2025_ipr,nirf_2025_fppp,nirf_2025_gph,nirf_2025_gue,nirf_2025_ms,nirf_2025_gphd,affiliation,autonomous_status,naac_grade,accreditation,official_contact_email,official_phone,address,maps_url,campus_area_acres,hostel_available,hostel_fee_inr,library_available,labs_available,sports_facilities,clubs_societies,average_package_lpa,highest_package_lpa,median_package_lpa,placement_rate_percent,placement_year,recruiter_count,top_recruiters,internship_info,placement_source_url,placement_source_year,review_score_5,review_count,review_source,review_source_url,review_year,courses,popular_branches,degree_types,course_duration,entrance_exams,eligibility,cutoff_info,admission_process,application_url,fees_source_url,fees_source_year,college_description,pros,cons,collegeiq_score,data_last_verified,existing_dataset_source,nirf_source,data_status,online_verification_status,online_verification_note
Raghu Engineering College,,,Andhra pradesh,India,,,,,,85000,57000,8.1,8.3,8.1,8.4,7.1,8.5,8.0,,Raghu Engineering College ,Andhra pradesh,"85,000","57,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Indian Institute of Information Technology Design and,,,Andhra pradesh,India,,,,,,144600,67500,7.4,7.9,8.0,6.7,7.6,7.2,7.2,,Indian Institute of Information Technology Design and ,Andhra pradesh,"1,44,600","67,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Rajeev Gandhi Memorial College of Engineering and,,,Andhra pradesh,India,,,,,,69100,62800,7.4,7.8,7.6,8.0,7.2,6.2,7.4,,Rajeev Gandhi Memorial College of Engineering and ,Andhra pradesh,"69,100","62,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
VIT University,,,Andhra pradesh,India,,,,,,198000,193000,8.2,8.3,8.3,8.1,7.9,8.4,8.1,,VIT University ,Andhra pradesh,"1,98,000","1,93,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
National Institute of Technology,,,Karnataka,India,,,,,,152730,100355,8.4,8.7,8.2,8.4,7.2,8.9,8.9,,National Institute of Technology ,Karnataka,"1,52,730","1,00,355",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Manipal Institute of Technology,,,Karnataka,India,,,,,,335000,210000,8.7,8.5,8.1,9.4,8.5,8.1,9.3,59,Manipal Institute of Technology ,Karnataka,"3,35,000","2,10,000",15.89,26.6,15.02,10.76,17.03,20.39,4.0,0.28,2719.0,14.71,13.75,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
R V College of Engineering,,,Karnataka,India,,,,,,350000,37700,8.5,8.7,8.2,8.6,7.9,9.0,8.4,,R V College of Engineering ,Karnataka,"3,50,000","37,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Ramaiah Institute of Technology,,,Karnataka,India,,,,,,86226,96570,8.4,8.5,8.3,8.7,7.8,8.3,8.6,75,Ramaiah Institute of Technology ,Karnataka,"86,226","96,570",14.5,28.93,15.52,11.43,1141.0,11.02,5.0,0.59,33.25,15.0,12.56,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
International Institute of Information Technology,,,Karnataka,India,,,,,,164000,324000,8.7,9.2,9.1,8.8,8.5,8.9,7.6,,International Institute of Information Technology ,Karnataka,"1,64,000","3,24,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
BMS College of Engineering,,,Karnataka,India,,,,,,229110,26800,8.2,8.4,8.0,8.0,8.0,8.3,8.7,,BMS College of Engineering ,Karnataka,"2,29,110","26,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Siddaganga Institute of Technology,,,Karnataka,India,,,,,,79475,92975,7.8,8.1,7.7,8.1,7.2,8.0,7.6,,Siddaganga Institute of Technology ,Karnataka,"79,475","92,975",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
New Horizon College of Engineering,,,Karnataka,India,,,,,,250000,75000,8.0,8.0,8.1,8.3,7.6,7.8,8.2,,New Horizon College of Engineering ,Karnataka,"2,50,000","75,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
"Faculty of Engineering and Technology, Jain University",,,Karnataka,India,,,,,,197500,85000,8.1,8.0,8.0,8.3,7.9,7.7,8.5,,"Faculty of Engineering and Technology, Jain University ",Karnataka,"1,97,500","85,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Sri Jayachamarajendra College of Engineering,,,Karnataka,India,,,,,,475000,140000,8.3,8.4,7.8,8.5,7.6,8.7,8.6,,Sri Jayachamarajendra College of Engineering ,Karnataka,"4,75,000","1,40,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Dayananda Sagar College of Engineering,,,Karnataka,India,,,,,,96106,292720,8.0,8.0,7.7,8.8,7.4,7.7,8.3,,Dayananda Sagar College of Engineering ,Karnataka,"96,106","2,92,720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
NMAM Institute of Technology,,,Karnataka,India,,,,,,163000,83220,7.9,8.0,8.2,8.1,7.5,7.5,7.9,,NMAM Institute of Technology ,Karnataka,"1,63,000","83,220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Nitte Meenakshi Institute of Technology,,,Karnataka,India,,,,,,58806,65390,7.8,8.1,7.9,7.8,7.1,7.6,8.1,,Nitte Meenakshi Institute of Technology ,Karnataka,"58,806","65,390",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
PES University,,,Karnataka,India,,,,,,340000,200000,8.0,8.5,8.1,8.1,7.7,8.1,7.6,,PES University ,Karnataka,"3,40,000","2,00,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
BMS Institute of Technology and Management,,,Karnataka,India,,,,,,350000,,7.9,8.2,8.0,7.7,7.7,7.9,7.7,,BMS Institute of Technology and Management ,Karnataka,"3,50,000",--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
"KLE Technological University, Hubli",,,Karnataka,India,,,,,,15000,40000,8.4,8.5,8.2,9.1,7.6,8.4,8.4,,"KLE Technological University, Hubli ",Karnataka,"15,000","40,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Dr. Ambedkar Institute of Technology,,,Karnataka,India,,,,,,30200,37500,7.2,7.7,7.5,7.5,6.8,6.7,7.2,,Dr. Ambedkar Institute of Technology ,Karnataka,"30,200","37,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
PES College of Engineering,,,Karnataka,India,,,,,,76800,74450,7.7,7.9,7.7,8.5,6.7,7.3,8.0,,PES College of Engineering ,Karnataka,"76,800","74,450",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
CMR Institute of Technology,,,Karnataka,India,,,,,,250000,140000,7.9,8.2,7.9,8.3,7.3,7.7,8.0,,CMR Institute of Technology ,Karnataka,"2,50,000","1,40,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
The National Institute of Engineering,,,Karnataka,India,,,,,,44090,55590,8.1,8.5,8.3,7.8,7.6,8.4,7.9,,The National Institute of Engineering ,Karnataka,"44,090","55,590",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
"Alliance College of Engineering and Design, Bangalore",,,Karnataka,India,,,,,,225000,150000,7.2,7.3,6.5,8.7,7.1,6.5,7.2,,"Alliance College of Engineering and Design, Bangalore ",Karnataka,"2,25,000","1,50,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Basaveshwar Engineering College,,,Karnataka,India,,,,,,65340,60000,7.7,8.1,8.1,8.1,7.9,6.6,7.2,,Basaveshwar Engineering College ,Karnataka,"65,340","60,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
"Christ University, Bangalore",,,Karnataka,India,,,,,,170000,35000,8.3,8.5,8.2,8.9,7.4,8.1,8.8,,"Christ University, Bangalore ",Karnataka,"1,70,000","35,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Manipal Academy of Higher Education,,,Karnataka,India,,,,,,335000,210000,8.4,8.5,8.6,8.8,8.2,7.8,8.4,,Manipal Academy of Higher Education ,Karnataka,"3,35,000","2,10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Indian Institute of Science,,,Karnataka,India,,,,,,29200,35200,9.0,9.6,9.4,9.5,8.5,8.4,8.4,,Indian Institute of Science ,Karnataka,"29,200","35,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
"REVA University, Bangalore",,,Karnataka,India,,,,,,225000,500000,8.4,8.3,8.3,9.3,8.1,7.8,8.4,,"REVA University, Bangalore ",Karnataka,"2,25,000","5,00,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
"Alliance University, Bangalore",,,Karnataka,India,,,,,,625000,150000,8.0,8.2,8.2,8.8,7.2,7.6,8.0,,"Alliance University, Bangalore ",Karnataka,"6,25,000","1,50,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
"Presidency University, Bangalore",,,Karnataka,India,,,,,,210000,90000,8.3,8.2,8.6,8.8,7.6,8.2,8.3,,"Presidency University, Bangalore ",Karnataka,"2,10,000","90,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Indian Institute of Technology,,,Telangana,India,,,,,,222995,500895,8.5,8.7,8.7,8.5,8.0,8.3,8.6,,Indian Institute of Technology ,Telangana,"2,22,995","5,00,895",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
National Institute of Technology,,,Telangana,India,,,,,,130000,75000,8.4,8.6,8.2,8.5,7.9,8.6,8.4,,National Institute of Technology ,Telangana,"1,30,000","75,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
International Institute of Information Technology,,,Telangana,India,,,,,,300000,150000,8.3,9.0,8.5,7.8,8.2,9.2,6.9,,International Institute of Information Technology ,Telangana,"3,00,000","1,50,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Jawaharlal Nehru Technological University,,,Telangana,India,,,,,,12500,18000,8.0,8.3,7.8,8.3,7.7,7.6,8.3,94,Jawaharlal Nehru Technological University ,Telangana,"12,500","18,000",15.5,30.0,15.53,14.14,8.86,10.53,1.0,2.0,22.89,15.0,9.87,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
"University College of Engineering, Osmania University",,,Telangana,India,,,,,,27770,39770,8.6,9.0,8.5,8.6,8.5,8.4,8.4,,"University College of Engineering, Osmania University ",Telangana,"27,770","39,770",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Chaitanya Bharathi Institute of Technology,,,Telangana,India,,,,,,134000,151600,8.2,8.5,8.4,8.3,7.1,8.6,8.5,,Chaitanya Bharathi Institute of Technology ,Telangana,"1,34,000","1,51,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Vallurupalli Nageswara Rao Vignana Jyothi Institute of,,,Telangana,India,,,,,,131000,141700,8.4,8.4,8.2,8.5,8.1,8.4,8.5,,Vallurupalli Nageswara Rao Vignana Jyothi Institute of ,Telangana,"1,31,000","1,41,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
"CVR College of Engineering, Ibrahimpatnam, Rangareddi",,,Telangana,India,,,,,,121650,72500,8.3,8.6,8.5,8.2,8.1,8.6,7.7,,"CVR College of Engineering, Ibrahimpatnam, Rangareddi ",Telangana,"1,21,650","72,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Institute of Aeronautical Engineering,,,Telangana,India,,,,,,90000,70000,8.3,8.4,8.2,8.5,8.5,8.0,8.2,,Institute of Aeronautical Engineering ,Telangana,"90,000","70,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
BV Raju Institute of Technology,,,Telangana,India,,,,,,120000,70000,8.5,8.6,8.3,8.9,8.2,8.4,8.7,,BV Raju Institute of Technology ,Telangana,"1,20,000","70,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Vardhaman College of Engineering,,,Telangana,India,,,,,,125000,57000,8.1,8.2,8.2,8.5,8.2,8.1,7.6,,Vardhaman College of Engineering ,Telangana,"1,25,000","57,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
"Anurag University, Hyderabad",,,Telangana,India,,,,,,135500,66500,8.3,8.5,8.2,8.9,7.5,8.0,8.4,,"Anurag University, Hyderabad ",Telangana,"1,35,500","66,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Vasavi College of Engineering,,,Telangana,India,,,,,,130000,100000,8.0,8.6,8.3,8.0,6.7,8.8,7.5,,Vasavi College of Engineering ,Telangana,"1,30,000","1,00,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Gokaraju Rangaraju Institute of Engineering and Technology,,,Telangana,India,,,,,,122000,75000,8.0,8.3,7.9,8.5,7.3,8.1,7.6,,Gokaraju Rangaraju Institute of Engineering and Technology ,Telangana,"1,22,000","75,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Kakatiya Institute of Technology & Science,,,Telangana,India,,,,,,125960,74550,8.2,8.3,8.4,8.3,7.9,7.9,8.4,,Kakatiya Institute of Technology & Science ,Telangana,"1,25,960","74,550",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
K L University,,,Telangana,India,,,,,,265000,120000,7.9,7.9,8.1,8.2,7.4,7.6,8.1,,K L University ,Telangana,"2,65,000","1,20,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Birla Institute of Technology and Science,,,Telangana,India,,,,,,423475,469475,9.0,9.0,8.8,9.4,8.4,9.1,9.4,,Birla Institute of Technology and Science ,Telangana,"4,23,475","4,69,475",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Mahatma Gandhi Institute of Technology,,,Telangana,India,,,,,,108000,,7.8,8.1,8.1,8.1,7.2,7.3,7.8,,Mahatma Gandhi Institute of Technology ,Telangana,"1,08,000",--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Malla Reddy Engineering College,,,Telangana,India,,,,,,103000,57000,7.4,7.7,7.4,7.8,7.1,7.1,7.5,,Malla Reddy Engineering College ,Telangana,"1,03,000","57,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Malla Reddy College of Engineering,,,Telangana,India,,,,,,72000,,7.0,7.5,7.0,6.8,7.2,6.5,7.2,,Malla Reddy College of Engineering ,Telangana,"72,000",--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Indian Institute of Chemical Technology,,,Telangana,India,,,,,,,,7.7,7.0,8.3,8.0,7.0,7.7,7.9,,Indian Institute of Chemical Technology ,Telangana,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
